Clean Comment,True Label,Predicted Label
awas kommen bayar perda dki,neutral,negative
iye kirain mobil doanx kacau bnr mending kendara umum dh,negative,negative
pt,neutral,neutral
ayoo pindah kantor daerah duren sawit ajaaa biaya hidup murah riah lhoo jajan murah sewa murah bebas macet,negative,positive
neang duit jang ikn nepi ka kieu na ampun gusti,neutral,negative
tolong kembali gub dki please please,negative,negative
whaduh xmalang bayar,neutral,neutral
ibukota buru pindah keq,neutral,neutral
allhm dllh moga andal transportasi,negative,positive
ladang korupsi buka lebar,negative,negative
mrt mash blon slsi ruas hi lebak bulus lrt blon slsi ni jalan mw dipajekin tranportasi masal udh sedia jurus fasilitas matang integrasi ngomongin erp dll skrg mash kaya gin jalan slsi pr mash,negative,neutral
ujung rancu kaya etle,negative,neutral
logika sewa bumi bayar manusia numpang bumi bumi abad abad free aja planet bumi hati kasih jatah tanah air udara awan panas dingin api emas timah tembaga batubara dll manusia serakah,negative,negative
ojol bongkrek bawa paket hari blm daerah rb kasihan bgt ojol tindas,neutral,negative
heran banyak negara maju terap erp jalan bangun hasil pajak milik kendara nikmatin jalan kendara lunas pajak musti bayar alas urai macet logika gimana yoo,negative,neutral
sederhana jalur bayar guna bebas macet pimpin perintah ayom rakyat beban rakyat objek bisnis,negative,negative
trus pajak apa kontol,neutral,negative
rakyat bayar pajak bikin jalan pas jalan udah rakyat suruh bayar pake jalan bangun pake duit konoha,neutral,neutral
booking cwe pake michat lt rebu murah,neutral,positive
peres truss sampe kering,neutral,negative
tikus tikus pasa ngiler cuan cuan,negative,negative
gitu min naikin pajak motor mobil aja bikin mikir kendara,neutral,neutral
dmna klo dh bayar pajak jala free klo bayar jalan pajak kendaraanya free blok goblok,neutral,neutral
udah miskin banget,negative,negative
klo gaji aja pajak rakyat,neutral,neutral
kasi tinggal daerah situ rumah bayar,neutral,neutral
kabar jln anter jemput skola dfa abdat arguby,neutral,neutral
aneh negara nyari untung rakyat lucu negeri,negative,negative
ngutaaang ngutaaang kesini gara gara ngutaaanggg welkam de kontri,neutral,neutral
preman lhooo slah baca,neutral,neutral
min kgp kantor grogol erp jalan bayar klau muter cari duit loh bebanin,neutral,neutral
tuju aja next gubernur beneran atur ubah,neutral,neutral
bikin jalan bayar pajak pake jalan bayar,neutral,neutral
percaya percaya buka titik korupsi tunggu aja berita utang bayar korupsi dengar,negative,neutral
guna tj krl dll membludak bareng benah tingkat armada ujung tumpang rugi dalih jalan bayar kirim barang ojol sulit otomatis ekonomi sulit gerak gimana solusi,negative,negative
wes laku ta iki saiki,neutral,neutral
macet pindah jalan kendara aja,negative,negative
solusi urai macet guna jln rutin lewat jalu erp mudah pindah transportasi massal signifikan kurang kemcetan beban rakyat ekstra beaya transportasi apalgi ojol wirawiri habis ongkos erp klo utuk bayar pajek kndaraan tahun capai juta,negative,negative
trus duit korup ituu negara polandia lohh yaa indonesia korup uang baik infrastruktur,negative,negative
google map blm tau klo otu bayar klo map hindar jalan tol klo hadeeuh coba gimana tau,neutral,neutral
bear wakil sip,neutral,neutral
lem aibon ide ahok djarot,neutral,neutral
mimpi buruk rakyat suruh bayar fasilitas bangun uang rakyat regulasi akal beban rakyat solusi kurang macet tolakerp berpikirkritis,negative,negative
pake sepeda erp,neutral,neutral
duit bgt dikit dikit bayar,neutral,neutral
emm play over aja jeladag jeleduh sambung jalan kaya poldur jalan tambal kaya ban,negative,neutral
tau beda pribadi online gimanahhh,negative,neutral
meledaaakkk,neutral,neutral
ardi ipan komen baee,neutral,neutral
gaji atas pajak pajak udara pajak dilakuin,neutral,neutral
jalan rata lobang aja gaya pake bayar,negative,neutral
maap pajak tutup hutang negara yagesya,negative,negative
benah transfortasi umum banyak armada rute klw byk pindah transfortasi umum tarif naikin,negative,neutral
syarat beli mobil dp rupiah dikibulin cukong kartel otomotif negara,negative,neutral
pajak kendara hapus,neutral,neutral
franciska bener macet atas gj bawah juta ambil mobil bekas cash nyicil,negative,negative
bijak manusia manusia tolol bin dungu rezim komunis,negative,negative
komplen aja kayak bawa mobil aja,neutral,neutral
kurang macet pindah jalur karna aktivitas ibukota tahun padet macet macet sumber,negative,negative
jam kantor ganti jam ampe jam,neutral,neutral
kaga,neutral,neutral
nggak tuju,neutral,neutral
setiawan solusi turut transportasi umum banget narasi,negative,negative
bayar gmn,neutral,neutral
erp,negative,neutral
terap jam sibuk tengah malam sampe subuh,negative,neutral
warga hak jalan aja bayar ygy,neutral,neutral
erp mobil pribadi aja hasil ojol orng gaji pas pas hrs bayar upeti uang gaiji aja perlu keluarga biar cari lebih makan anak istri,negative,negative
pajak bangun jalan bayar skrg bangun pajakin pj gub hebat ngoahakakakaka,neutral,positive
kasi ojol situ bayar blm customer bayar tar cust blg muter aja jalan tau boros bensin,neutral,negative
ideu mennyengsarakan rakyat bikin macet duit,negative,negative
koruptor,negative,negative
emg udh jaman anis gak suka nyalain aja lanjut laksana salah tahun,negative,negative
copot jabat,neutral,neutral
serah kuasa tuhan,neutral,neutral
setiawan solusi work from home aja kantor nggak berangkat berangkat bayar berapa emang jalan lewat gang macet pindah aja takut macet mending work from home aja,negative,negative
ngajukan raperda tahun pas jaman anies ngak kasi makan belah chuaks,neutral,neutral
peres duit rakyat bsnis rakyat,neutral,neutral
suami driver salah logistik mondar mandir mana uang bensin biaya mudah bijak kendara kerja sperti suami bijak pemprov usaha,negative,positive
hitung keluar aja ttp motor aja hehehe,negative,negative
demo,neutral,neutral
pa bayar macet alas macet cari uang receh rayakt nas,negative,negative
depan nafas doang gratis dunia,neutral,positive
bikin atur gak pake otak ngakali rakyat aja bayar pajak mahal jalan biasa bayar bange nama,neutral,negative
pake solusi jalan bayar neken beli kendara pake solusi jalan bayar masyarakat aja beli motor cash kredit,negative,neutral
bayar utang gubernur dki kemarin suka hambur uang,neutral,positive
tingkat wfh,neutral,neutral
macet tempat gak bayar,negative,negative
sulit kredit kendara solusi macet,negative,negative
mental minta ilang ilang,neutral,neutral
zameena ngulang ngurangi,neutral,neutral
sepeda,neutral,neutral
bayarr tf pake token bsa gesek tempel,neutral,neutral
truk ekspedisi kirim kesana masuk uang pajak money min,neutral,neutral
solusi bnyk ilangin aja cicil mobil jdi cash tronton operasi malam angkot ungal an parkir sembarang ngetem tepi jalan bajay henti jalur motor udh tau macet kadang bajay nyelip aja nyangkut bikin kendara motor numpuk ujung macet perhati jalan jkt gede jalur sempit jdi jalur gimana macet coba,negative,negative
solusi bayar bro benahin transportasi umum bayar aja kadang nunggu bayar bnyak make bnyak antri,neutral,negative
modal kalimantan yak,neutral,neutral
liat daftar knp jln menteng diponegoro cikini bayar prioritas jabat rmh dinas dubes tinggal sekitar,neutral,negative
bandung cimahi,neutral,neutral
ni perintah duit,neutral,neutral
tuju biaya gede optimalisasi fasilitas tunjang dipake desentralisasi ntar cinta senang,neutral,positive
gak capek malakin rakyat,negative,neutral
gurbernur giveaway ngadi ngadi tinggal anies acak kesan hilang,neutral,negative
hey indonesia nafas sesuai domisili nafas daerah domisili tarif erp,neutral,negative
tolakerp,negative,neutral
stone kaka wfh,neutral,neutral
walah guna jalan aja bayar pajak bayar pajak bayar,neutral,neutral
aneh sengaja keluar biar ramai masyarakat keluar sosok pahlawan tantang rencana ni masyarakat kagum sosok tsb moga aja halayan liar sya,negative,negative
ayo kemarin wfh,neutral,positive
klo jual mobil indonesia stop keluarga mobil pribadi sifat,negative,neutral
bayar pajak pake jalan aja bayar,neutral,neutral
pancasilais neng meres rakyat thanks pj gub dprd dki,negative,neutral
kabar ojol laku gimana nasib ojol,neutral,neutral
its all about money solusi macet,negative,neutral
bener mobil only,neutral,neutral
sulit,negative,negative
udh miskin bgt negara qta sampe jln aja byr jlnan aja bangun pake duit rakyat allah negeri,negative,negative
kocak ktanya nurunin angka pakai bbm dn maju kendara listrik tp emang nganter anak sekolah aja skrg jaman motor mobil pribadi cb sekolah mewah laku bus sekolah kdg pagi macettt sma mobil anter anak sekolah ampun,negative,negative
izin titik erp kudu stand by lokasi klo enga nnti bnyk pke jaket ama helm ojol pdhl akun cek ojol aplikasi aktif,neutral,neutral
ayooo celana balaikota dukung or cabut,negative,neutral
goblok luh,neutral,neutral
bagainana opang gak pk jaket ijo,neutral,neutral
jalan kaki bayar biar kas penuh,negative,negative
udah bayar urus serah swasta tinggal liat aja milik usaha,neutral,neutral
mobil dinas mobil berplat dewa bayar,neutral,neutral
blok,negative,neutral
blum itung wilayah buset rb bolak,neutral,neutral
udah nambah uang saku koruptor pajak pam pln tol jalan raya bayar jalan fasilitas umum rakyat bos ide anggota dpr fraksi,neutral,negative
good adil nilai lanjut,negative,negative
jalur sepeda kaya dikenain biaya tah,neutral,neutral
wanskyy disholawatin,neutral,neutral
jalan negeri bayar gubernur diy waktu,negative,neutral
hrs bayar nafas ama kentut blm suruh byr,neutral,neutral
ganti gubernur jakarta saikkk bangun otak mya duit duit duit mulu et,neutral,neutral
bagus klo tunjang kendara umum kurang tumpu kendara transportasi umum contoh halte busway bagus apa halte revitalisasi klo fungsi ny tampung tumpu tumpang bilang gak efisien,negative,negative
suruh bayar uang aja mana seriusnanya,neutral,neutral
ajeee gileee,neutral,neutral
parah emng serba bayar miskin miskin makan aja susah,negative,negative
junkies nama tanggulang macet gak ngaruh klo pakai angkut umum hahaha nyinyir mulu emak,negative,negative
pas baca pikir ojol,neutral,neutral
hehee bayar klo naik atur dp kendara minimal kayak turun tingkat macet meren,negative,negative
peras konstitusional masyarakat subsidi negara jargon manja subsidi kick masyarakat subsidi negara rumah kamar cas buntut rumah pagar pajak udh trjadi perancis,negative,negative
muharif bayar,neutral,neutral
monggo piknik keluarga teman teman panjenengan monggo japri mawon saddam tour travel magelang piknikyopiknik carteryocarter kerjoyokerjo dolanyodolan barengyobareng layan piknik wisata pantai wisata candi city tour jogja manten mbesan manten acara keluarga acara dinas dll wa me mobil hiace elf long inova magelangjew magelangmawon magelangadem magelangwae saddamtransport ontripmagelang,neutral,neutral
lepas erp ganti ganjil genap,negative,negative
usulin ojol motor plat kuning kasi ojol kenain erp,neutral,negative
demo demo,neutral,neutral
sebenernya sosialisasi gak sosial media review masyarakat transportasi umum tv youtube udah banget ulas positif emang masyarakat enggan gak desak desa gimana gak tau aja jalan macet macet,negative,negative
transportasi publik oke pada,negative,neutral
cma mobil krna motor kaga,negative,neutral
